Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2015-05-13 23:53:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",OAK ST / LAGUNA ST,-122.425891675136,37.7745985956747
2015-05-13 23:33:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",VANNESS AV / GREENWICH ST,-122.42436302145,37.8004143219856
2015-05-13 22:30:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,TARAVAL,NONE,0 Block of ESCOLTA WY,-122.487983072777,37.737666654332706
2015-05-13 21:40:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,BAYVIEW,"ARREST, BOOKED",MENDELL ST / HUDSON AV,-122.38640086995301,37.738983491072
2015-05-13 20:56:00,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Wednesday,TARAVAL,NONE,2000 Block of 41ST AV,-122.49978712069,37.74851760347229
2015-05-13 20:06:00,OTHER OFFENSES,PROBATION VIOLATION,Wednesday,BAYVIEW,"ARREST, BOOKED",300 Block of WILLIAMS AV,-122.39944365894199,37.73017601616471
2015-05-13 18:30:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,"ARREST, BOOKED",3100 Block of HARRISON ST,-122.411504150729,37.7477859069595
2015-05-13 18:02:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, BOOKED",25TH ST / SHOTWELL ST,-122.415014685048,37.750836391743995
2015-05-13 17:47:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,BAYVIEW,NONE,0 Block of WHITFIELD CT,-122.38183793030001,37.73110435323621
2015-05-13 17:00:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Wednesday,INGLESIDE,NONE,0 Block of BROOK ST,-122.42346642833401,37.74072837180189
